Site,Type,NO3,SO2,P,NO2,NH3,NTU,Basin_Fill,Veg,Na,H2O_Temp,pH,Cond,TDS
Abernathy ,urban,0.113943352,1.397940009,0.093421685,0.000867722,0.004321374,1.71432976,90,0,1.977723605,1.469822016,0.978180517,2.291590826,2.128076013
Buster_Long,urban,0.653212514,1.505149978,0.176091259,0.002597981,0.012837225,1.77815125,77.07903362,12.92096638,2.459392488,1.403120521,0.971275849,2.756636108,2.630427875
C_Andrews,urban,0.113943352,1.342422681,0.008600172,0.005609445,0.11058971,1.895974732,53.72880156,0,2.170261715,1.426511261,0.972202838,2.487138375,2.324282455
Caudle,urban,0.113943352,1.301029996,0.127104798,0.012415375,0.096910013,1.527629901,36.27119844,0,2.269512944,1.45484486,0.966141733,2.587710965,2.432969291
Clapp,urban,0.146128036,0.31386722,0.309630167,0.001300933,0.075546961,0.72916479,90,56.78908924,2.2955671,1.440909082,0.902546779,1.992111488,2.140508043
Dupree,urban,0.505149978,1.602059991,0.204119983,0.022428371,0.176091259,1.988558957,63.43494882,0,2.230448921,1.401400541,0.949390007,2.523746467,2.374748346
E_Givens,urban,0.531478917,0.477121255,0.440909082,0.001300933,0.056904851,1.797267541,22.786498,60,2.201397124,1.404833717,0.916453949,2.509202522,2.356025857
Earl_Crow,urban,0.113943352,0.698970004,0.544068044,0.000867722,0.012837225,1.499687083,67.213502,0,1.980911938,1.477121255,0.951337519,2.287129621,2.121559844
Guy,urban,1.491361694,0.477121255,0.161368002,0.000867722,0.004321374,3,60,0,2.404833717,1.385606274,0.983175072,2.728353782,2.553883027
Hboth,urban,0.113943352,1.204119983,0.170261715,0.001300933,0.033423755,1.704150517,90,0,2.025305865,1.444044796,0.973127854,2.342422681,2.181843588
Hoel,urban,0.301029996,1.146128036,0.096910013,0.008174184,0.041392685,1.530199698,90,0,2.149219113,1.397940009,0.969415912,2.45331834,2.294466226
J_Stevens,urban,0.113943352,1.51851394,0.08278537,0.004751156,0.093421685,1.611723308,71.56505118,0,2.133538908,1.401400541,0.965671971,2.436162647,2.281033367
J_Jennings,urban,0.612783857,1.146128036,0.008600172,0.000867722,0.155336037,2.260071388,60,0,2.136720567,1.437750563,0.979092901,2.442479769,2.292256071
Leftwich,urban,0.113943352,0.477121255,0.307496038,0.000867722,0.068185862,1.068185862,67.213502,0,2.041392685,1.418301291,0.952792443,2.36361198,2.195899652
Leroy_Elmore,urban,0.462397998,1.851258349,0.037426498,0.001300933,0.004321374,1.23299611,90,0,2.103803721,1.403120521,0.959041392,2.397940009,2.245512668
Lobo,urban,0.397940009,1.380211242,0.103803721,0.001733713,0.037426498,1.039810554,90,0,2.10720997,1.465382851,0.978180517,2.411619706,2.255272505
Mahon,urban,0.431363764,1.579783597,0.544068044,0.174059808,0.431363764,1.663700925,56.78908924,90,1.758154622,1.361727836,0.903089987,2.053078443,1.922206277
Maxey,urban,0.113943352,0.1430148,1.176091259,0.009450896,0.149219113,1.158362492,90,12.92096638,1.920645001,1.421603927,0.92788341,2.215901813,2.061829307
McAlister,urban,0.113943352,0.477121255,0.008600172,0.000867722,0.093421685,1.673020907,67.213502,0,1.989004616,1.456366033,0.984077034,2.288696261,2.105510185
McCullough,urban,0.079181246,1.763427994,0.161368002,0.000867722,0.021189299,1.424881637,71.56505118,0,2.511883361,1.431363764,0.95616843,2.811575006,2.656098202
Muleshoe_Park,urban,0.004321374,1.851258349,0.06069784,0.002597981,0.021189299,1.442479769,63.43494882,42.13041476,2.884795364,1.404833717,0.994756945,3.191451014,3.034628457
OW_Ribble,urban,0.230448921,1.73239376,0.544068044,0.006893708,0.127104798,1.44870632,90,0,2.195899652,1.451786436,0.953276337,2.499687083,2.346352974
Remington,urban,0.113943352,1.84509804,0.26245109,0.002166062,0.086359831,1.69019608,71.56505118,0,2.103803721,1.424881637,0.968015714,2.457881897,2.292256071
Travis_Trussel,urban,0.278753601,1.602059991,0.079181246,0.004751156,0.139879086,1.294466226,90,36.27119844,2.117271296,1.481442629,0.975891136,2.414973348,2.264817823
Tahoka_far_spring,salina,0.431363764,1.851258349,0.184691431,0.005180513,0.075546961,0.737192643,30,90,0.638489257,1.419955748,0.946943271,0.905256049,0.770852012
Tahoka_cow,salina,0.113943352,1.851258349,0.004321374,0.000867722,0.167317335,1.356025857,67.213502,42.13041476,0.667452953,1.459392488,0.954724791,0.924795996,0.788875116
Tahoka_spring_2,salina,0.113943352,1.851258349,0.008600172,0.000867722,0.004321374,2.715167358,71.56505118,90,0.517195898,1.475671188,0.911690159,0.750508395,0.629409599
Mackenzie_cow_pond,salina,0.579783597,1.851258349,0.133538908,0.011147361,0.056904851,2.130333768,60,0,0.521138084,1.442479769,0.95230801,0.755112266,0.632457292
Mackenzie_spring,salina,0.72427587,1.851258349,0.552668216,0.001733713,0.008600172,0.517195898,5.739170477,90,1.02325246,1.456366033,0.920645001,1.305136319,1.161368002
