Site,Type,NO3,SO2,P,NO2,NH3,NTU,Basin_Fill,Veg,Na,H2O_Temp,pH,Cond,TDS
Abernathy ,urban,0.3,24,0.24,0.002,0.01,50.8,100,0,94,28.5,8.51,194.7,133.3
Buster_Long,urban,3.5,31,0.5,0.006,0.03,59,95,5,287,24.3,8.36,570,426
C_Andrews,urban,0.3,21,0.02,0.013,0.29,77.7,65,0,147,25.7,8.38,306,210
Caudle,urban,0.3,19,0.34,0.029,0.25,32.7,35,0,185,27.5,8.25,386,270
Clapp,urban,0.4,1.06,1.04,0.003,0.19,4.36,100,70,196.5,26.6,6.99,97.2,137.2
Dupree,urban,2.2,39,0.6,0.053,0.5,96.4,80,0,169,24.2,7.9,333,236
E_Givens,urban,2.4,2,1.76,0.003,0.14,61.7,15,75,158,24.4,7.25,322,226
Earl_Crow,urban,0.3,4,2.5,0.002,0.03,30.6,85,0,94.7,29,7.94,192.7,131.3
Guy,urban,30,2,0.45,0.002,0.01,999,75,0,253,23.3,8.62,534,357
Hboth,urban,0.3,15,0.48,0.003,0.08,49.6,100,0,105,26.8,8.4,219,151
Hoel,urban,1,13,0.25,0.019,0.1,32.9,100,0,140,24,8.32,283,196
J_Stevens,urban,0.3,32,0.21,0.011,0.24,39.9,90,0,135,24.2,8.24,272,190
J_Jennings,urban,3.1,13,0.02,0.002,0.43,181,75,0,136,26.4,8.53,276,195
Leftwich,urban,0.3,2,1.03,0.002,0.17,10.7,85,0,109,25.2,7.97,230,156
Leroy_Elmore,urban,1.9,70,0.09,0.003,0.01,16.1,100,0,126,24.3,8.1,249,175
Lobo,urban,1.5,23,0.27,0.004,0.09,9.96,100,0,127,28.2,8.51,257,179
Mahon,urban,1.7,37,2.5,0.493,1.7,45.1,70,100,56.3,22,7,112,82.6
Maxey,urban,0.3,0.39,14,0.022,0.41,13.4,100,5,82.3,25.4,7.47,163.4,114.3
McAlister,urban,0.3,2,0.02,0.002,0.24,46.1,85,0,96.5,27.6,8.64,193.4,126.5
McCullough,urban,0.2,57,0.45,0.002,0.05,25.6,90,0,324,26,8.04,647,452
Muleshoe_Park,urban,0.01,70,0.15,0.006,0.05,26.7,80,45,766,24.4,8.88,1553,1082
OW_Ribble,urban,0.7,53,2.5,0.016,0.34,27.1,100,0,156,27.3,7.98,315,221
Remington,urban,0.3,69,0.83,0.005,0.22,48,90,0,126,25.6,8.29,286,195
Travis_Trussel,urban,0.9,39,0.2,0.011,0.38,18.7,100,35,130,29.3,8.46,259,183
Tahoka_far_spring,salina,1.7,70,0.53,0.012,0.19,4.46,25,100,3.35,25.3,7.85,7.04,4.9
Tahoka_cow_pond,salina,0.3,70,0.01,0.002,0.47,21.7,85,45,3.65,27.8,8.01,7.41,5.15
Tahoka_spring_2,salina,0.3,70,0.02,0.002,0.01,518,90,100,2.29,28.9,7.16,4.63,3.26
Mackenzie_cow_pond,salina,2.8,70,0.36,0.026,0.14,134,75,0,2.32,26.7,7.96,4.69,3.29
Mackenzie_spring,salina,4.3,70,2.57,0.004,0.02,2.29,1,100,9.55,27.6,7.33,19.19,13.5
